2023-11-09 at 21:46:30 | INFO | payment_check_coroutine : Check result: False, time: 1076175.703
2023-11-09 at 21:46:32 | INFO | payment_check_coroutine : Checking payment at 1076177.703
2023-11-09 at 21:46:32 | INFO | payment_check_coroutine : Check result: False, time: 1076177.843
2023-11-09 at 21:46:34 | INFO | payment_check_coroutine : Checking payment at 1076179.875
2023-11-09 at 21:46:34 | INFO | payment_check_coroutine : Check result: False, time: 1076180.015
2023-11-09 at 21:46:36 | INFO | payment_check_coroutine : Checking payment at 1076182.015
2023-11-09 at 21:46:36 | INFO | payment_check_coroutine : Check result: False, time: 1076182.171
2023-11-09 at 21:46:38 | INFO | payment_check_coroutine : Checking payment at 1076184.171
2023-11-09 at 21:46:38 | INFO | payment_check_coroutine : Check result: False, time: 1076184.312
2023-11-09 at 21:46:40 | INFO | payment_check_coroutine : Checking payment at 1076186.312
2023-11-09 at 21:46:40 | INFO | payment_check_coroutine : Check result: False, time: 1076186.453
2023-11-09 at 21:46:42 | INFO | payment_check_coroutine : Checking payment at 1076188.453
2023-11-09 at 21:46:43 | INFO | payment_check_coroutine : Check result: False, time: 1076188.937
2023-11-09 at 21:46:45 | INFO | payment_check_coroutine : Checking payment at 1076190.937
2023-11-09 at 21:46:45 | INFO | payment_check_coroutine : Check result: False, time: 1076191.078
2023-11-09 at 21:46:47 | INFO | payment_check_coroutine : Checking payment at 1076193.078
2023-11-09 at 21:46:47 | INFO | payment_check_coroutine : Check result: False, time: 1076193.625
2023-11-09 at 21:46:49 | INFO | payment_check_coroutine : Checking payment at 1076195.625
2023-11-09 at 21:46:50 | INFO | payment_check_coroutine : Check result: False, time: 1076195.781
2023-11-09 at 21:46:52 | INFO | payment_check_coroutine : Checking payment at 1076197.796
2023-11-09 at 21:46:52 | INFO | payment_check_coroutine : Check result: False, time: 1076197.937
2023-11-09 at 21:46:54 | INFO | payment_check_coroutine : Checking payment at 1076199.937
2023-11-09 at 21:46:54 | INFO | payment_check_coroutine : Check result: False, time: 1076200.14
2023-11-09 at 21:46:56 | INFO | payment_check_coroutine : Checking payment at 1076202.14
2023-11-09 at 21:46:56 | INFO | payment_check_coroutine : Check result: False, time: 1076202.281
2023-11-09 at 21:46:58 | INFO | payment_check_coroutine : Checking payment at 1076204.281
2023-11-09 at 21:46:58 | INFO | payment_check_coroutine : Check result: False, time: 1076204.609
2023-11-09 at 21:47:00 | INFO | payment_check_coroutine : Checking payment at 1076206.609
2023-11-09 at 21:47:01 | INFO | payment_check_coroutine : Check result: False, time: 1076206.75
2023-11-09 at 21:47:03 | INFO | payment_check_coroutine : Checking payment at 1076208.75
2023-11-09 at 21:47:03 | INFO | payment_check_coroutine : Check result: False, time: 1076208.89
2023-11-09 at 21:47:05 | INFO | payment_check_coroutine : Checking payment at 1076210.89
2023-11-09 at 21:47:05 | INFO | payment_check_coroutine : Check result: False, time: 1076211.031
2023-11-09 at 21:47:07 | INFO | payment_check_coroutine : Checking payment at 1076213.046
2023-11-09 at 21:47:07 | INFO | payment_check_coroutine : Check result: False, time: 1076213.234
2023-11-09 at 21:47:09 | INFO | payment_check_coroutine : Checking payment at 1076215.234
2023-11-09 at 21:47:09 | INFO | payment_check_coroutine : Check result: False, time: 1076215.375
2023-11-09 at 21:47:11 | INFO | payment_check_coroutine : Checking payment at 1076217.375
2023-11-09 at 21:47:11 | INFO | payment_check_coroutine : Check result: False, time: 1076217.609
2023-11-09 at 21:47:13 | INFO | payment_check_coroutine : Checking payment at 1076219.609
2023-11-09 at 21:47:14 | INFO | payment_check_coroutine : Check result: False, time: 1076219.75
2023-11-09 at 21:47:16 | INFO | payment_check_coroutine : Checking payment at 1076221.75
2023-11-09 at 21:47:16 | INFO | payment_check_coroutine : Check result: False, time: 1076221.89
2023-11-09 at 21:47:18 | INFO | payment_check_coroutine : Checking payment at 1076223.906
2023-11-09 at 21:47:18 | INFO | payment_check_coroutine : Check result: False, time: 1076224.437
2023-11-09 at 21:47:20 | INFO | payment_check_coroutine : Checking payment at 1076226.437
2023-11-09 at 21:47:20 | INFO | payment_check_coroutine : Check result: False, time: 1076226.578
2023-11-09 at 21:47:22 | INFO | payment_check_coroutine : Checking payment at 1076228.578
2023-11-09 at 21:47:23 | INFO | payment_check_coroutine : Check result: False, time: 1076228.734
2023-11-09 at 21:47:25 | INFO | payment_check_coroutine : Checking payment at 1076230.734
2023-11-09 at 21:47:25 | INFO | payment_check_coroutine : Check result: False, time: 1076230.875
2023-11-09 at 21:47:27 | INFO | payment_check_coroutine : Checking payment at 1076232.875
2023-11-09 at 21:47:27 | INFO | payment_check_coroutine : Check result: False, time: 1076233.015
2023-11-09 at 21:48:11 | INFO | payment_check_coroutine : The balance check coroutine has started.
2023-11-09 at 21:48:11 | INFO | payment_check_coroutine : Checking payment at 1076276.953
2023-11-09 at 21:48:14 | INFO | payment_check_coroutine : Check result: False, time: 1076280.234
2023-11-09 at 21:48:16 | INFO | payment_check_coroutine : Checking payment at 1076282.25
2023-11-09 at 21:48:16 | INFO | payment_check_coroutine : Check result: False, time: 1076282.562
2023-11-09 at 21:48:18 | INFO | payment_check_coroutine : Checking payment at 1076284.578
2023-11-09 at 21:48:19 | INFO | payment_check_coroutine : Check result: False, time: 1076284.718
2023-11-09 at 21:48:21 | INFO | payment_check_coroutine : Checking payment at 1076286.718
2023-11-09 at 21:48:21 | INFO | payment_check_coroutine : Check result: False, time: 1076287.109
2023-11-09 at 21:48:23 | INFO | payment_check_coroutine : Checking payment at 1076289.109
2023-11-09 at 21:48:23 | INFO | payment_check_coroutine : Check result: False, time: 1076289.328
2023-11-09 at 21:48:25 | INFO | payment_check_coroutine : Checking payment at 1076291.328
2023-11-09 at 21:48:25 | INFO | payment_check_coroutine : Check result: False, time: 1076291.484
2023-11-09 at 21:48:27 | INFO | payment_check_coroutine : Checking payment at 1076293.484
2023-11-09 at 21:48:27 | INFO | payment_check_coroutine : Check result: False, time: 1076293.625
2023-11-09 at 21:48:29 | INFO | payment_check_coroutine : Checking payment at 1076295.625
2023-11-09 at 21:48:30 | INFO | payment_check_coroutine : Check result: False, time: 1076295.765
2023-11-09 at 21:48:32 | INFO | payment_check_coroutine : Checking payment at 1076297.781
2023-11-09 at 21:48:32 | INFO | payment_check_coroutine : Check result: False, time: 1076297.937
2023-11-09 at 21:48:34 | INFO | payment_check_coroutine : Checking payment at 1076299.937
2023-11-09 at 21:48:34 | INFO | payment_check_coroutine : Check result: False, time: 1076300.093
2023-11-09 at 21:48:36 | INFO | payment_check_coroutine : Checking payment at 1076302.109
2023-11-09 at 21:48:36 | INFO | payment_check_coroutine : Check result: False, time: 1076302.265
2023-11-09 at 21:48:38 | INFO | payment_check_coroutine : Checking payment at 1076304.265
2023-11-09 at 21:48:38 | INFO | payment_check_coroutine : Check result: False, time: 1076304.406
2023-11-09 at 21:48:40 | INFO | payment_check_coroutine : Checking payment at 1076306.406
2023-11-09 at 21:48:40 | INFO | payment_check_coroutine : Check result: False, time: 1076306.562
2023-11-09 at 21:48:42 | INFO | payment_check_coroutine : Checking payment at 1076308.578
2023-11-09 at 21:48:43 | INFO | payment_check_coroutine : Check result: False, time: 1076308.718
2023-11-09 at 21:48:45 | INFO | payment_check_coroutine : Checking payment at 1076310.718
2023-11-09 at 21:48:45 | INFO | payment_check_coroutine : Check result: False, time: 1076311.046
2023-11-09 at 21:48:47 | INFO | payment_check_coroutine : Checking payment at 1076313.046
2023-11-09 at 21:48:47 | INFO | payment_check_coroutine : Check result: False, time: 1076313.203
2023-11-09 at 21:48:49 | INFO | payment_check_coroutine : Checking payment at 1076315.203
2023-11-09 at 21:48:49 | INFO | payment_check_coroutine : Check result: False, time: 1076315.359
2023-11-09 at 21:48:51 | INFO | payment_check_coroutine : Checking payment at 1076317.359
2023-11-09 at 21:48:51 | INFO | payment_check_coroutine : Check result: False, time: 1076317.531
2023-11-09 at 21:48:53 | INFO | payment_check_coroutine : Checking payment at 1076319.531
2023-11-09 at 21:48:54 | INFO | payment_check_coroutine : Check result: False, time: 1076319.843
2023-11-09 at 21:48:56 | INFO | payment_check_coroutine : Checking payment at 1076321.843
2023-11-09 at 21:48:56 | INFO | payment_check_coroutine : Check result: False, time: 1076321.984
2023-11-09 at 21:48:58 | INFO | payment_check_coroutine : Checking payment at 1076323.984
2023-11-09 at 21:48:58 | INFO | payment_check_coroutine : Check result: False, time: 1076324.125
2023-11-09 at 21:49:00 | INFO | payment_check_coroutine : Checking payment at 1076326.14
2023-11-09 at 21:49:00 | INFO | payment_check_coroutine : Check result: False, time: 1076326.281
2023-11-09 at 21:49:02 | INFO | payment_check_coroutine : Checking payment at 1076328.281
2023-11-09 at 21:49:02 | INFO | payment_check_coroutine : Check result: False, time: 1076328.437
2023-11-09 at 21:49:04 | INFO | payment_check_coroutine : Checking payment at 1076330.437
2023-11-09 at 21:49:04 | INFO | payment_check_coroutine : Check result: False, time: 1076330.578
2023-11-09 at 21:49:06 | INFO | payment_check_coroutine : Checking payment at 1076332.578
2023-11-09 at 21:49:07 | INFO | payment_check_coroutine : Check result: False, time: 1076332.718
2023-11-09 at 21:49:09 | INFO | payment_check_coroutine : Checking payment at 1076334.718
2023-11-09 at 21:49:09 | INFO | payment_check_coroutine : Check result: False, time: 1076334.875
2023-11-09 at 21:49:11 | INFO | payment_check_coroutine : Checking payment at 1076336.875
2023-11-09 at 21:49:11 | INFO | payment_check_coroutine : Check result: False, time: 1076337.031
2023-11-09 at 21:49:13 | INFO | payment_check_coroutine : Checking payment at 1076339.046
2023-11-09 at 21:49:13 | INFO | payment_check_coroutine : Check result: False, time: 1076339.187
2023-11-09 at 21:49:15 | INFO | payment_check_coroutine : Checking payment at 1076341.187
2023-11-09 at 21:49:15 | INFO | payment_check_coroutine : Check result: False, time: 1076341.343
2023-11-09 at 21:49:17 | INFO | payment_check_coroutine : Checking payment at 1076343.343
2023-11-09 at 21:49:17 | INFO | payment_check_coroutine : Check result: False, time: 1076343.5
2023-11-09 at 21:49:19 | INFO | payment_check_coroutine : Checking payment at 1076345.5
2023-11-09 at 21:49:20 | INFO | payment_check_coroutine : Check result: False, time: 1076345.703
2023-11-09 at 21:49:22 | INFO | payment_check_coroutine : Checking payment at 1076347.703
2023-11-09 at 21:49:22 | INFO | payment_check_coroutine : Check result: False, time: 1076347.843
2023-11-09 at 21:49:24 | INFO | payment_check_coroutine : Checking payment at 1076349.843
2023-11-09 at 21:49:24 | INFO | payment_check_coroutine : Check result: False, time: 1076349.984
2023-11-09 at 21:49:26 | INFO | payment_check_coroutine : Checking payment at 1076351.984
2023-11-09 at 21:49:26 | INFO | payment_check_coroutine : Check result: False, time: 1076352.125
2023-11-09 at 21:49:28 | INFO | payment_check_coroutine : Checking payment at 1076354.125
2023-11-09 at 21:49:28 | INFO | payment_check_coroutine : Check result: False, time: 1076354.265
2023-11-09 at 21:49:30 | INFO | payment_check_coroutine : Checking payment at 1076356.265
2023-11-09 at 21:49:30 | INFO | payment_check_coroutine : Check result: False, time: 1076356.421
2023-11-09 at 21:49:32 | INFO | payment_check_coroutine : Checking payment at 1076358.421
2023-11-09 at 21:49:33 | INFO | payment_check_coroutine : Check result: False, time: 1076358.75
2023-11-09 at 21:49:35 | INFO | payment_check_coroutine : Checking payment at 1076360.75
2023-11-09 at 21:49:35 | INFO | payment_check_coroutine : Check result: False, time: 1076361.015
2023-11-09 at 21:49:37 | INFO | payment_check_coroutine : Checking payment at 1076363.031
2023-11-09 at 21:49:37 | INFO | payment_check_coroutine : Check result: True, time: 1076363.187
2023-11-09 at 21:49:37 | INFO | payment_check_coroutine : Payment confirmed
2023-11-09 at 21:49:37 | INFO | payment_check_coroutine : An error occurred: 'email'
2023-11-09 at 21:53:32 | INFO | payment_check_coroutine : The balance check coroutine has started.
2023-11-09 at 21:53:32 | INFO | payment_check_coroutine : Checking payment at 1076597.906
2023-11-09 at 21:53:32 | INFO | payment_check_coroutine : Check result: False, time: 1076598.562
2023-11-09 at 21:53:34 | INFO | payment_check_coroutine : Checking payment at 1076600.562
2023-11-09 at 21:53:35 | INFO | payment_check_coroutine : Check result: False, time: 1076600.703
2023-11-09 at 21:53:37 | INFO | payment_check_coroutine : Checking payment at 1076602.718
2023-11-09 at 21:53:37 | INFO | payment_check_coroutine : Check result: False, time: 1076602.875
2023-11-09 at 21:53:39 | INFO | payment_check_coroutine : Checking payment at 1076604.875
2023-11-09 at 21:53:39 | INFO | payment_check_coroutine : Check result: False, time: 1076605.015
2023-11-09 at 21:53:41 | INFO | payment_check_coroutine : Checking payment at 1076607.015
2023-11-09 at 21:53:41 | INFO | payment_check_coroutine : Check result: False, time: 1076607.171
2023-11-09 at 21:53:43 | INFO | payment_check_coroutine : Checking payment at 1076609.171
2023-11-09 at 21:53:43 | INFO | payment_check_coroutine : Check result: False, time: 1076609.312
2023-11-09 at 21:53:45 | INFO | payment_check_coroutine : Checking payment at 1076611.312
2023-11-09 at 21:53:45 | INFO | payment_check_coroutine : Check result: False, time: 1076611.468
2023-11-09 at 21:53:47 | INFO | payment_check_coroutine : Checking payment at 1076613.468
2023-11-09 at 21:53:47 | INFO | payment_check_coroutine : Check result: False, time: 1076613.609
2023-11-09 at 21:53:49 | INFO | payment_check_coroutine : Checking payment at 1076615.609
2023-11-09 at 21:53:50 | INFO | payment_check_coroutine : Check result: False, time: 1076615.875
